Bonus Name,Aztecs,Berbers,Britons,Burmese,Byzantines,Celts,Chinese,Ethiopians,Franks,Goths,Huns,Incas,Indians,Italians,Japanese,Khmer,Koreans,Magyars,Malay,Malians,Mayans,Mongols,Persians,Portuguese,Saracens,Slavs,Spanish,Teutons,Turks,Vietnamese,Vikings
Archery_Range_HP_upon_reaching_Imperial_Age,2100,2100,2100,2100,2940,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Architecture_cost_in_Food_in_the_Imperial_Age,300,300,300,300,300,300,240,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Architecture_cost_in_Wood_in_the_Imperial_Age,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Are_Houses_needed_for_population_support,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arrowslits_cost_in_Food_in_the_Imperial_Age,250,250,250,250,250,250,200,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Arrowslits_cost_in_Wood_in_the_Imperial_Age,250,250,250,250,250,250,200,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Arson_cost_in_Food_in_the_Castle_Age,150,150,150,150,150,150,127.5,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Arson_cost_in_Food_in_the_Imperial_Age,150,150,150,150,150,150,120,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Arson_cost_in_Gold_in_the_Castle_Age,50,50,50,50,50,50,42.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Arson_cost_in_Gold_in_the_Imperial_Age,50,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Atonement_cost_in_Gold_in_the_Castle_Age,325,325,325,162.5,325,325,276.25,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
Atonement_cost_in_Gold_in_the_Imperial_Age,325,325,325,162.5,325,325,260,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
Ballista_Elephant_gold_cost,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,68,80,80,80,80,80,80,80
Ballistics_cost_in_Gold_in_the_Castle_Age,175,175,175,175,175,175,148.75,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Ballistics_cost_in_Gold_in_the_Imperial_Age,175,175,175,175,175,175,140,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Ballistics_cost_in_Wood_in_the_Castle_Age,300,300,300,300,300,300,255,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Ballistics_cost_in_Wood_in_the_Imperial_Age,300,300,300,300,300,300,240,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Banking_cost_in_Food_in_the_Imperial_Age,300,300,300,300,300,300,240,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Banking_cost_in_Gold_in_the_Imperial_Age,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Barracks_build_time,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,35,50,50,50,50
Barracks_cost_in_wood,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,148.75,175,175,175,175,175,175,175,175,175,175,175
Barracks_HP_upon_reaching_Castle_Age,1800,1800,1800,1800,2340,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Barracks_HP_upon_reaching_Dark_Age,1200,1200,1200,1200,1320,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Barracks_HP_upon_reaching_Feudal_Age,1500,1500,1500,1500,1800,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Barracks_HP_upon_reaching_Imperial_Age,2100,2100,2100,2100,2940,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Battering_Ram_cost_in_Gold,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,63.75,75,63.75,75,75,75,75,75
Battering_Ram_cost_in_Wood,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,136,160,160,160,160,160
Battering_Ram_creation_speed,30.6,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Battering_Ram_Rate_of_Fire,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Battle_Elephant_food_cost,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,84,120,120,120,120,120,120,120,120,120,120,120,120
Battle_Elephant_speed,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.9775,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Berries_per_Villager_per_Minute_to_the_Town_Center_upon_reaching_Castle_Age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.15,1,1,1,1,1,1,1,1
Berries_per_Villager_per_Minute_to_the_Town_Center_upon_reaching_Feudal_Age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1
Berries_per_Villager_per_Minute_to_the_Town_Center_upon_reaching_Imperial_Age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1
Berserk_gold_cost,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,21.25,25,25,25,25,25,25,25
Berserk_Hit_points_starting_in_the_Castle_Age,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,73.6
Berserk_Hit_points_starting_in_the_Imperial_Age,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,76.8
Blacksmith_build_time,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,28,40,40,40,40
Blacksmith_cost_in_wood,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,127.5,150,150,150,150,150,150,150,150,150,150,150
Blacksmith_HP_upon_reaching_Castle_Age,2100,2100,2100,2100,2730,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Blacksmith_HP_upon_reaching_Feudal_Age,1800,1800,1800,1800,2160,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Blacksmith_HP_upon_reaching_Imperial_Age,2100,2100,2100,2100,2940,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Blast_Furnace_cost_in_Food_in_the_Imperial_Age,275,275,275,275,275,275,220,275,275,275,275,275,275,275,275,275,275,0,275,275,275,275,275,275,275,275,275,275,275,275,275
Blast_Furnace_cost_in_Gold_in_the_Imperial_Age,225,225,225,225,225,225,180,225,225,225,225,225,225,225,225,225,225,0,225,225,225,225,225,225,225,225,0,225,225,225,225
Block_Printing_cost_in_Gold,200,200,200,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Bloodlines_cost_in_Food_in_the_Castle_Age,150,150,150,150,150,150,127.5,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Bloodlines_cost_in_Food_in_the_Feudal_Age,150,150,150,150,150,150,135,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Bloodlines_cost_in_Food_in_the_Imperial_Age,150,150,150,150,150,150,120,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Bloodlines_cost_in_Gold_in_the_Castle_Age,100,100,100,100,100,100,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bloodlines_cost_in_Gold_in_the_Feudal_Age,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bloodlines_cost_in_Gold_in_the_Imperial_Age,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Boar_per_Villager_per_Minute_to_the_Town_Center_upon_reaching_Castle_Age,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,33,25.3,22,22,22,22,22,22,22,22
Boar_per_Villager_per_Minute_to_the_Town_Center_upon_reaching_Feudal_Age,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,33,24.2,22,22,22,22,22,22,22,22
Boar_per_Villager_per_Minute_to_the_Town_Center_upon_reaching_Imperial_Age,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,33,26.4,22,22,22,22,22,22,22,22
Bodkin_Arrow_cost_in_Food_in_the_Castle_Age,200,200,200,200,200,200,170,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Bodkin_Arrow_cost_in_Food_in_the_Imperial_Age,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Bodkin_Arrow_cost_in_Gold_in_the_Castle_Age,100,100,100,100,100,100,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bodkin_Arrow_cost_in_Gold_in_the_Imperial_Age,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bombard_Cannon_cost_in_Gold,225,225,225,225,225,225,225,225,225,225,225,225,225,180,225,225,225,225,225,225,225,225,225,191.25,225,225,225,225,225,225,225
Bombard_Cannon_cost_in_Wood,225,225,225,225,225,225,225,225,225,225,225,225,225,180,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
Bombard_Cannon_creation_speed,47.6,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Bombard_Cannon_Hit_points,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,100,80,80
Bombard_Cannon_Rate_of_Fire,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.475,6.5,6.5,6.5,6.5
Bombard_Cannon_technology_cost_in_Food,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,250,500,500
Bombard_Cannon_technology_cost_in_Gold,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,125,250,250
Bombard_Tower_Construction_time,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,53.6,80,80,80,80,80,80,80,80,80,56,80,80,80,80
Bombard_Tower_Garrison_count,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5
Bombard_Tower_HP_upon_reaching_Imperial_Age,2220,2220,2220,2220,3108,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220
Bombard_Tower_technology_cost_in_Food_in_the_Imperial_Age,800,800,800,800,800,800,640,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,400,800,800
Bombard_Tower_technology_cost_in_Wood_in_the_Imperial_Age,400,400,400,400,400,400,320,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,200,400,400
Bow_Saw_cost_in_Food_in_the_Castle_Age,150,150,150,0,150,150,127.5,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Bow_Saw_cost_in_Food_in_the_Imperial_Age,150,150,150,0,150,150,120,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Bow_Saw_cost_in_Wood_in_the_Castle_Age,100,100,100,0,100,100,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bow_Saw_cost_in_Wood_in_the_Imperial_Age,100,100,100,0,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Boyar_gold_cost,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,68,80,80,80,80,80,80,80
Bracer_cost_in_Food_in_the_Imperial_Age,300,300,300,300,300,300,240,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Bracer_cost_in_Gold_in_the_Imperial_Age,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200
Camel_Archer_cost_in_gold,60,60,60,60,45,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Camel_Archer_cost_in_wood,50,50,50,50,37.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Camel_Archer_gold_cost,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,51,60,60,60,60,60,60,60
Camel_Archer_pierce_armor_rating,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Camel_cost_in_food,55,55,55,55,41.25,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Camel_cost_in_gold,60,60,60,60,45,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Camel_creation_speed,18.7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Camel_gold_cost,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,51,60,60,60,60,60,60,60
Camel_pierce_armor_rating,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cannon_Galleon_Accuracy_against_buildings,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,92,50,50,50,50
Cannon_Galleon_Accuracy_against_units,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,92,50,50,50,50
Cannon_Galleon_cost_in_Gold,150,150,150,150,150,150,150,150,150,150,150,150,150,120,150,150,150,150,150,150,150,150,150,127.5,150,150,150,150,150,150,150
Cannon_Galleon_cost_in_Wood,200,200,200,200,200,200,200,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Cannon_Galleon_Hit_points,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,132,120,120,120,120,150,120,120
Cannon_Galleon_PSpeed,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,7,1.95,1.95,1.95,1.95
Cannon_Galleon_Speed,1.1,1.21,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Cannon_Galleon_technology_cost_in_Food,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,200,400,400
Cannon_Galleon_technology_cost_in_Food_in_the_Imperial_Age,400,400,400,400,400,400,320,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Cannon_Galleon_technology_cost_in_Wood,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,250,500,500
Cannon_Galleon_technology_cost_in_Wood_in_the_Imperial_Age,500,500,500,500,500,500,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Capped_Ram_cost_in_Gold,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,63.75,75,63.75,75,75,75,75,75
Capped_Ram_cost_in_Wood,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,136,160,160,160,160,160
Capped_Ram_creation_speed,30.6,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Capped_Ram_Rate_of_Fire,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Caravan_cost_in_Food_in_the_Castle_Age,200,200,200,200,200,200,170,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Caravan_cost_in_Food_in_the_Imperial_Age,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Caravan_cost_in_Gold_in_the_Castle_Age,200,200,200,200,200,200,170,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Caravan_cost_in_Gold_in_the_Imperial_Age,200,200,200,200,200,200,160,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Caravel_gold_cost,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,28.9,34,34,34,34,34,34,34
Caravel_HP,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,157.3,143,143,143,143,143,143,143
Careening_cost_in_Food_in_the_Castle_Age,250,250,250,250,250,250,212.5,250,250,250,250,250,250,125,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Careening_cost_in_Food_in_the_Imperial_Age,250,250,250,250,250,250,200,250,250,250,250,250,250,125,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Careening_cost_in_Gold_in_the_Castle_Age,150,150,150,150,150,150,127.5,150,150,150,150,150,150,75,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Careening_cost_in_Gold_in_the_Imperial_Age,150,150,150,150,150,150,120,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Castle_Age_food_reward,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle_Age_gold_reward,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle_Age_research_cost_in_Food_in_the_Feudal_Age,800,800,800,800,800,800,720,800,800,800,800,800,800,680,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
Castle_Age_research_cost_in_Gold_in_the_Feudal_Age,200,200,200,200,200,200,180,200,200,200,200,200,200,170,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Castle_Age_research_maximum_buildings_required,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Castle_Age_research_time,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,32,160,160,160,160,160,160,160,160,160,160,160,160
Castle_build_time,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,140,200,200,200,200
Castle_cost_in_stone,650,650,650,650,650,650,650,650,487.5,650,650,552.5,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650
Castle_HP_upon_reaching_Castle_Age,4800,4800,4800,4800,6240,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
Castle_HP_upon_reaching_Imperial_Age,4800,4800,4800,4800,6720,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
Cataphract_gold_cost,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,63.75,75,75,75,75,75,75,75
Cavalier_cost_in_Food_in_the_Imperial_Age,60,48,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Cavalier_cost_in_Gold_in_the_Imperial_Age,75,60,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,63.75,75,75,75,75,75,75,75
Cavalier_HP_rating,120,120,120,120,120,120,120,120,144,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
